"ano","codmunres","municipio","cobertura_sinasc"
2015,"211157","São Pedro dos Crentes",99.3
2015,"211160","São Raimundo das Mangabeiras",96.9
2015,"211163","São Raimundo do Doca Bezerra",96.8
2015,"211167","São Roberto",98.4
2015,"211170","São Vicente Ferrer",96.6
2015,"211172","Satubinha",94.2
2015,"211174","Senador Alexandre Costa",98.4
2015,"211176","Senador La Rocque",97.5
2015,"211178","Serrano do Maranhão",95.3
2015,"211180","Sítio Novo",96.8
2015,"211190","Sucupira do Norte",96.4
2015,"211195","Sucupira do Riachão",98.2
2015,"211200","Tasso Fragoso",97.5
2015,"211210","Timbiras",96.1
2015,"211220","Timon",92.4
2015,"211223","Trizidela do Vale",96.9
2015,"211227","Tufilândia",98.6
2015,"211230","Tuntum",98.3
2015,"211240","Turiaçu",97.3
2015,"211245","Turilândia",96.8
2015,"211250","Tutóia",98.2
2015,"211260","Urbano Santos",97.9
2015,"211270","Vargem Grande",97
2015,"211280","Viana",95.5
2015,"211285","Vila Nova dos Martírios",98.3
2015,"211290","Vitória do Mearim",97.2
2015,"211300","Vitorino Freire",99.1
2015,"211400","Zé Doca",96.8
2015,"220005","Acauã",99.8
2015,"220010","Agricolândia",92.2
2015,"220020","Água Branca",99.3
2015,"220025","Alagoinha do Piauí",96.4
2015,"220027","Alegrete do Piauí",99.8
2015,"220030","Alto Longá",96.7
2015,"220040","Altos",95.9
2015,"220045","Alvorada do Gurguéia",98.5
2015,"220050","Amarante",96.6
2015,"220060","Angical do Piauí",98.9
2015,"220070","Anísio de Abreu",97.9
2015,"220080","Antônio Almeida",97.5
2015,"220090","Aroazes",95.9
2015,"220095","Aroeiras do Itaim",99.8
2015,"220100","Arraial",92.3
2015,"220105","Assunção do Piauí",98.5
2015,"220110","Avelino Lopes",97.2
2015,"220115","Baixa Grande do Ribeiro",94.7
2015,"220117","Barra D'Alcântara",89.5
2015,"220120","Barras",98.1
2015,"220130","Barreiras do Piauí",89.1
2015,"220140","Barro Duro",95.8
2015,"220150","Batalha",98.3
2015,"220155","Bela Vista do Piauí",92.7
2015,"220157","Belém do Piauí",97.3
2015,"220160","Beneditinos",98.4
2015,"220170","Bertolínia",99.9
2015,"220173","Betânia do Piauí",99.7
2015,"220177","Boa Hora",97
2015,"220180","Bocaina",99.9
2015,"220190","Bom Jesus",99.7
2015,"220191","Bom Princípio do Piauí",97.9
2015,"220192","Bonfim do Piauí",97.4
2015,"220194","Boqueirão do Piauí",97.4
2015,"220196","Brasileira",95.1
2015,"220198","Brejo do Piauí",97.8
2015,"220200","Buriti dos Lopes",99.3
2015,"220202","Buriti dos Montes",98.7
2015,"220205","Cabeceiras do Piauí",92.4
2015,"220207","Cajazeiras do Piauí",97.4
2015,"220208","Cajueiro da Praia",99.9
2015,"220209","Caldeirão Grande do Piauí",99.8
2015,"220210","Campinas do Piauí",93.3
2015,"220211","Campo Alegre do Fidalgo",99.8
2015,"220213","Campo Grande do Piauí",99.9
2015,"220217","Campo Largo do Piauí",95
2015,"220220","Campo Maior",98.3
2015,"220225","Canavieira",95
2015,"220230","Canto do Buriti",99.1
2015,"220240","Capitão de Campos",93.6
2015,"220245","Capitão Gervásio Oliveira",97.8
2015,"220250","Caracol",95.8
2015,"220253","Caraúbas do Piauí",96.9
2015,"220255","Caridade do Piauí",97.3
2015,"220260","Castelo do Piauí",99.1
2015,"220265","Caxingó",98.6
2015,"220270","Cocal",97.8
2015,"220271","Cocal de Telha",94
